Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Sales Inbound
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Sales Outbound
b81a8498a,CornHusker Group,3b8dee0632,CornHusker Auto Center,Service Inbound
f07925222,Principle Automotive Group,fdec030155,Principle BMW MINI of San Antonio,Sales Inbound
f07925222,Principle Automotive Group,fdec030155,Principle BMW MINI of San Antonio,Service Inbound
6c19cc7c4,Super Autos Miami,7fb99e6ee1,Super Autos Miami,Sales Inbound
6c19cc7c4,Super Autos Miami,7fb99e6ee1,Super Autos Miami,Sales Outbound
aec6e372f,Grand Motorcars,34ddfad075,Autoplex,Sales Inbound
aec6e372f,Grand Motorcars,a5c07ee7d2,Hyundai of Canton,Sales Inbound
c53b9eaab,Elway Powersport,cb5d950847,John Elway Harley-Davidson,Service Inbound
3d5f779d7,Rick Weaver Chevrolet,d4a682cb2a,Rick Weaver Chevrolet,Service Inbound
3d5f779d7,Rick Weaver Chevrolet,d4a682cb2a,Rick Weaver Chevrolet,Service Outbound
97e494b63,Lucki Mazda,b60b1bb221,Lucki Mazda,Service Inbound
97e494b63,Lucki Mazda,b60b1bb221,Lucki Mazda,Sales Inbound
aa323b917,Car Revolution,eba56ec9aa,Pointe Buick GMC,Service Inbound
aa323b917,Car Revolution,eba56ec9aa,Pointe Buick GMC,Sales Outbound
aa323b917,Car Revolution,7aa04a1a2d,Revolution Cars of Avenel,Sales Outbound
21de286e9,Worldwide Motors LTD dba Paragon Acura,e9e19bca63,Paragon Acura,Service Outbound
