,,,,,,,,June 1,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted,Go-Live Date,ARR,MRR,Days Live,# Total Leads,# Leads Interacted,% TOFU Capture,# Qualified Leads,# Transfers,% Transfers,# Appt Booked,% Appt Conversion,Quality,STL enabled?,Afterhours / Overflow / Roundrobin,Smartview Widget,Multiday followup,Coverage,Customer Sentiment,CPA,Apt value,ROI Multiple,ROI based RAG,Sorting RAG,Next Step Owner,Next Step Owner Team,Tasks to turn green,Avg lead/day
5b81be4b1,Dream Automotive,3d3deabc98,Dream Nissan Midwest,Sales Outbound,Apr 30,"$9,000",$750,32,,3670,,395,,,24,6.08%,,,,,,,,$250.00,"$6,000.00",8.00,Green,,,,,0
5b81be4b1,Dream Automotive,7607d0e6f5,Dream Nissan Kansas City,Sales Inbound,Apr 30,"$9,000",$750,32,1445,1313,90.87%,1250,11,0.84%,76,6.08%,,Yes,Overflow,No,No,,,$100.00,"$7,600.00",10.13,Green,003-Green,,,,48
5b81be4b1,Dream Automotive,7607d0e6f5,Dream Nissan Kansas City,Sales Outbound,Apr 30,"$9,000",$750,32,,7263,,605,,,17,2.81%,,,,,,,,$250.00,"$4,250.00",5.67,Green,,,,,0
6c19cc7c4,Super Autos Miami,7fb99e6ee1,Super Autos Miami,Sales Inbound,May 18,"$8,988",749,14,241,102,42.32%,12,2,1.96%,2,16.67%,,Check,Check,Check,Check,,,$100.00,$200.00,0.57,Red,001-Red,Shubham Mittal,Engineering,STL not working,17
6c19cc7c4,Super Autos Miami,7fb99e6ee1,Super Autos Miami,Sales Outbound,May 22,"$8,988",749,10,,639,,50,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
6548557c2,Wolfchase Honda & Nissan,405beccbe9,Wolfchase Honda,Service Outbound,Jan 31,"$8,640",$720,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
6548557c2,Wolfchase Honda & Nissan,d14b8b8338,Wolfchase Nissan,Service Outbound,Jan 31,"$8,640",$720,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,49a06313cf,Covina Kia,Sales Outbound,May 12,"$8,400",$700,20,,283,,33,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
7d06f7427,Brandon Steven Motors,49a06313cf,Covina Kia,Service Outbound,May 31,"$8,400",$700,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,1a916c0965,Carson Hyundai,Sales Outbound,May 12,"$8,400",$700,20,,0,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
7d06f7427,Brandon Steven Motors,1a916c0965,Carson Hyundai,Service Outbound,May 12,"$8,400",$700,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
b5b6954c4,Landers CDJR,c18a7a6d8d,Landers CDJR,Sales Inbound,Apr 30,"$8,400",$700,32,864,67,7.75%,10,1,1.49%,1,10.00%,,No,Overflow,No,No,,,$100.00,$100.00,0.14,Red,001-Red,,CSM,Enable STL + Followups,29
7d06f7427,Brandon Steven Motors,5c99ab695a,Eddie VW,Sales Outbound,May 31,"$8,400",$700,1,,0,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
7d06f7427,Brandon Steven Motors,5c99ab695a,Eddie VW,Service Outbound,May 31,"$8,400",$700,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,9923577d07,Honda DTLA,Sales Outbound,May 31,"$8,400",$700,1,,0,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
7d06f7427,Brandon Steven Motors,9923577d07,Honda DTLA,Service Outbound,Apr 01,"$8,400",$700,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,a0a4332434,Subaru Wichita,Sales Outbound,Apr 30,"$8,400",$700,32,,141,,25,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
